Original Name,Matched Name,Spotify ID,Match Type,Popularity,Followers
1991,1991,2IP71LH7CbwddhsEXBI0fy,exact,58,64775
999999999,999999999,6uD2LjPHUjxrpax0se17Nc,exact,41,151410
AC Slater,AC Slater,6EqFMCnVGBRNmwPlk2f3Uc,exact,49,117976
ACRAZE,ACRAZE,4pnp4w9g30yLfVIAFnZMRd,exact,63,144044
ALLEYCVT,ALLEYCVT,4JxRK2gxmri7L7OWaxnVD1,exact,51,59981
Aly & Fila,Aly & Fila,2hL1EouqXLtBEB6JKnPF0h,c,,
Andruss,Andruss,6HZwb7Zbnvfo8u1sst4QrI,exact,49,31693
Astrix,Astrix,3dUltShd2gJQc98Kc7Syit,exact,53,488016
Audien,Audien,4xnMDfgEmXZEEDdITKcGuE,exact,56,196546
BARELY ALIVE,BARELY ALIVE,5c3akKV3CUqAVOnGZqf4S3,exact,50,211928
Kompany,Kompany,7dtX3ykcuyVmts2HQnWgSP,exact,45,85011
Basstripper,Basstripper,1tSiIyp5dxfbEaS0nZGMEl,exact,47,40081
Ben Nicky,Ben Nicky,3Bd1phrOZJuCev9U0bzdtA,exact,53,124404
Darren Styles,Darren Styles,2gZzTzeACSwFqkMroVxmnm,exact,57,140984
Blanke,Blanke,59Yq0xrABEihHANsfo9QMT,exact,50,65117
BOLO,BOLO,4qaAcBXIagTIWYkJRlxYZ7,c,,
Boys Noize,Boys Noize,62k5LKMhymqlDNo2DWOvvv,exact,55,297761
Capochino,Capochino,70qOCKE1NFO6q1a1pC0KRE,exact,34,13788
Cera Khin,Cera Khin,49QMv0RvuxcUG8Xk6YweEz,exact,22,19731
Charlie Sparks,Charlie Sparks (UK),1lsjQdGrRe2D1nmvCVB7JZ,c,40,71165
Cosmic Gate,Cosmic Gate,6ySxYu68zTsO5ghsThpGtS,exact,52,285298
Culture Shock,Culture Shock,6lp2VnIRXXpC9Wz7hSX6RE,exact,51,92820
ÆON:MODE,ÆON:MODE,41ouHqoKXNijIMFsQTmFQV,exact,45,9721
Da Tweekaz,Da Tweekaz,6UOk7DmvqlzWmo6gjhZvn6,exact,61,314834
Danny Avila,DANNY AVILA,1Xv1qZHJ1hnRlWHRTZ3uci,exact,49,21990
Dead X,Dead X,1viO40zvthKBg0VNEnJoma,exact,31,2415
deadmau5,deadmau5,2CIMQHirSU0MQqyYHq0eOx,exact,67,2847815
Deborah De Luca,Deborah de Luca,144HzhpLjcR9k37w5Ico9B,exact,55,541542
Deeper Purpose,Deeper Purpose,10Bo1ofGMWr6hFD7OM7W7r,exact,45,26227
Dimension,Dimension,1QMgre3BHX161ZHtWMUu6S,exact,61,153765
Discovery Project,Discovery Project,7pfgz7FNb4CABwioBiO7Em,exact,,8
DJ Isaac,DJ Isaac,2FmgW6Jee0JQKtb6EnBWCq,exact,51,88461
Domina,DØMINA,2SaPpXmlY9agJpvlEbLMKD,c,17,616
Dr. Fresch,Dr. Fresch,1htHgbGwgCWJBfGiQwcRqC,exact,51,134089
Duke Dumont,Duke Dumont,61lyPtntblHJvA7FMMhi7E,exact,67,760740
Egzod,Egzod,3exvMmrLV6o4R42YnG3Id6,exact,64,197200
Estella Boersma,Estella Boersma,4UCy3TOuu2eA6zNY50JQSV,exact,27,15735
Excision,Excision,5FKchcZpQOkqFvXBj1aCvb,exact,59,759292
FJAAK,FJAAK,4qG1qjeHfkASTdyRGbLWbV,exact,36,121597
Friction,Friction,5xdizdgbQQvGAgAolGhpXr,exact,53,110639
Friendly Fire,Friendly Fire,1JtDSmvj4bVA8pBszG43fK,c,,
Gene Farris,Gene Farris,49qOEODA3n8HiVUY4uwJbU,exact,37,20055
Godlands,Godlands,2BW6zD5lzOxdEFWrgsHMq8,exact,32,11352
Habstrakt,Habstrakt,1YYJxpOXYk1z1WtqdeLMkn,exact,49,134521
HALIENE,HALIENE,1sKIizVYeHkGy7Tjmn9QRj,exact,51,46588
Héctor Oaks,Héctor Oaks,2FZAQdFEANNv5Gi29PI10x,exact,34,42200
HONÜ,HONÜ,5U96ytItXSJmQBUOOhMxKq,exact,23,4860
Illenium,ILLENIUM,45eNHdiiabvmbp4erw26rg,exact,71,1565881
INFEKT,INFEKT,3I6KMDdmPiLE5UQ4XF8Kpl,exact,42,80740
Jackie Hollander,Jackie Hollander,5ykY9Uweo3gl5VFpb6z6pQ,exact,36,5677
Jake Silva,Jake Silva,5RLODyL9SNX8KYZ0yiiXvL,exact,32,16170
Jessica Audiffred,Jessica Audiffred,4odLDriBk6oEZotzLPTSnD,exact,46,59894
Joshwa,Joshwa,1PzAgFVk9v8cxn9flrqrv5,exact,53,38392
JSTJR,JSTJR,5SNvvu3C0tFHMXcih3NdiP,exact,40,30788
Juelz,Juelz,04p1jV00pBnrmh2rKl0jnT,c,,
Justin Jay,Justin Jay,5k5eiijuHxrGwXp2Pz37GZ,exact,46,56048
Kai Wachi,Kai Wachi,2fNr4ldujwq97v1jWeqs8K,exact,52,152299
KIMMIC,KIMMIC,203PtVTnerRs5Vey1UyQgN,exact,42,11101
Kobosil,Kobosil,2ZvIFwl0BuQgHqWvDE80hC,exact,43,95013
Lee Foss,Lee Foss,44T94QQEc60Jf7kqGY6Rip,exact,47,74148
Leisan,Leisan,1jtvnvAC4u2YWU7QTqoNDF,exact,12,1192
Levity,Levity,1PbO7aQiVeKbGp8GYWDL9C,exact,54,87657
Loud Luxury,Loud Luxury,6t1gpxYbY8OlLA7D2RiikQ,exact,66,675743
Louis The Child,Louis The Child,7wg1qvie3KqDNQbAkTdbX0,exact,58,483937
Maddix,Maddix,0RMeG9M8QFzss9bAbq99KA,exact,66,185915
Mark Knight,Mark Knight,3h11MHQeCrcsUgRRijI1zL,exact,55,154879
Me n ü,Me n ü,1hqo0TnaWxL6jVm0wdzi9f,c,,
Mish,Mish,65kwwmTEJIlKRldGhmUM0b,c,,
MPH,MPH,62SCu33InHVq97VaWw3eof,exact,46,34668
Netsky,Netsky,5TgQ66WuWkoQ2xYxaSTnVP,exact,58,460690
Nifra,Nifra,4Ipm3lGKLqzhir25JU846A,exact,43,31314
Nostalgix,Nostalgix,6CarTAUaWnQb6bp7yjP0Zz,exact,39,27906
Odd Mob,Odd Mob,4qLwtWhlhyAoQ4S9mSrDW9,exact,63,97972
Panteros666,Panteros666,7DYEJjAIWCn1DNttRqVomt,exact,37,20978
Paul van Dyk,Paul van Dyk,7wU1naftD3lNq7rNsiDvOR,exact,57,471063
Pocket,Pocket,2VizsdU66dsMBEg8h4Vkzo,exact,25,8126
Pyke,PYKE,0Gph5nn0pLUR8oT8t4j41d,exact,26,3039
Richard Durand,Richard Durand,7wne8sUhTAJdIsnuO4GjnR,exact,48,56209
Reinier Zonneveld,Reinier Zonneveld,21A7bhIL1m6CNZn8y57PIZ,exact,54,190747
RL Grime,RL Grime,5eIbEEQnDM8yuDVB0bimSP,exact,62,435300
Roger Sanchez,Roger Sanchez,1HT9k1ZSUL9IczSstOAgWJ,exact,53,157321
Rooler,Rooler,2lpFs8QJyIeVDb2Sq4vZYi,exact,59,123298
Rossy,Rossy,4wJ7gER76tRe6yTO87KySS,c,,
SABAI,SABAI,4OaSyxqlkp7aVpAZwF02QZ,exact,53,46996
Said The Sky,Said The Sky,4LZ4De2MoO3lP6QaNCfvcu,exact,55,291037
Sam Binga,Sam Binga,2oyU4eToyQkxAFjkB3blsi,exact,34,15690
Samplifire,SampliFire,57gGqESEggWfCpE3KOzdVa,exact,46,75777
San Pacho,San Pacho,5jBerZvTAajwYvdxt3UhgU,exact,50,66475
Seven Lions,Seven Lions,6fcTRFpz0yH79qSKfof7lp,exact,59,510166
Ship Wrek,Ship Wrek,1ic0FHNGIjXZAWH6O6Reif,exact,51,86425
Showtek,Showtek,3gk0OYeLFWYupGFRHqLSR7,exact,62,483168
Sota,SOTA,78UYwUXnotbqcp2NTxjujP,exact,45,36711
Space 92,Space 92,6TVdVlY6irsNPkMHT2HkfD,exact,53,95542
Supergloss,Supergloss,7uvZrAOASv4qg1VawEFR7Z,exact,17,1227
Svdden Death,SVDDEN DEATH,2u01kCKA5wDvvztuH8lyT0,exact,51,243214
Taylor Kade,Taylor Kade,5xZctf19fhC6NgttHakfzF,exact,30,6647
Teko,Teko,6LYBTipBAHSpduixnHmWuS,c,,
Timmy Trumpet,Timmy Trumpet,0CbeG1224FS58EUx4tPevZ,exact,71,1237810
Tita Lau,Tita Lau,5g93IJMEpfC68NUaeVjr4h,exact,46,53011
Tony Junior,Tony Junior,17esEoE9uEHFKuzkar2UL0,exact,49,131782
Valentino Khan,Valentino Khan,0deIjoDjl9g9Zpw0sCIOHh,exact,51,245509
Vangar,Vangar,6na2GiWyP4tNUmYxRQXoW4,exact,3,87
VOID,Void,3giDsMv0eBesae30PimJpx,exact,15,721
Walker & Royce,Walker & Royce,1lAwVq9MxNJkB0dEY6xNoV,c,,
VNSSA,VNSSA,6fjbZ7zQBYEy3kvB5JL5PM,exact,36,19883
Wax Motif,Wax Motif,7zm3aSdmGiOkTt0aZFSO8R,exact,51,116164
Westend,Westend,4epc3Bd0DOBA0kDywkRAsu,exact,56,59745
WHIPPED CREAM,WHIPPED CREAM,5CMaNobmJYgXcfiT0zYOwi,exact,50,90808
Whoo Kid,Whoo Kid,23AUjbAIOlR1VKIcUKecMm,exact,2,424
William Black,William Black,7d5SfGXKpgS3JK8BFIq59h,exact,54,117544
With Løve,With Løve,0x0UI85q7lIdGMEZsNH5fm,exact,33,3198
Wooli,Wooli,1Uyqa2sdHm1bL5JK4IC4zc,exact,57,137610
Wuki,Wuki,6Se1y4vDcu9fVHLqdj1N3q,exact,59,136030
Yellow Claw,Yellow Claw,47z7ZrgFoBvVpCnElCE3Zh,exact,62,1040622
Yosuf,Yosuf,0pceb68in41LfgvQbkvCzg,exact,52,69556
Zeds Dead,Zeds Dead,67qogtRNI0GjUr8PlaG6Zh,exact,62,633101
Zorza,Zorza,3aAo0qwTvgRwURTzzQ3frr,exact,32,7838